Age,YearsAtCompany,MonthlyIncome,DistanceFromHome,JobLevel,PercentSalaryHike,PerformanceRating,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,Gender,Department,Education,MaritalStatus,JobRole,OverTime,BusinessTravel,target,PercentOfYearsInCurrentRole,YearsSincePromoOverTotalYearsRatio,SalaryHikeToIncome,SatisfactionToJobRoleAvg,SatisfactionToDepartmentAvg,DeptOvertimeRatio,DistanceGroup,AgeGroup,YearsAtCompanyPerformanceInteraction
56.0,9.0,19844.0,9.0,4.0,24.0,2.0,2.0,1.0,0.0,1.0,Male,Support,Masters,Married,Technician,No,Travel_Frequently,0,0.2222222222222222,0.1111111111111111,0.0012094335819391251,less,less,0.48679678530424797,Close,50+,18.0
46.0,29.0,6687.0,39.0,1.0,20.0,1.0,14.0,11.0,7.0,1.0,Female,Sales,Bachelors,Single,Engineer,No,Non-Travel,0,0.4827586206896552,0.3793103448275862,0.0029908778226409452,equal,less,0.48325892857142855,Very Far,40-50,29.0
32.0,35.0,7357.0,1.0,1.0,12.0,1.0,11.0,7.0,0.0,4.0,Male,HR,PhD,Single,Clerk,No,Non-Travel,1,0.3142857142857143,0.2,0.0016310996330025826,greater,equal,0.47465437788018433,Close,30-40,35.0
60.0,39.0,2327.0,33.0,1.0,0.0,2.0,12.0,6.0,5.0,3.0,Male,Support,PhD,Single,Technician,Yes,Travel_Rarely,1,0.3076923076923077,0.15384615384615385,0.0,equal,equal,0.48679678530424797,Far,50+,78.0
25.0,14.0,12285.0,38.0,5.0,24.0,3.0,9.0,4.0,9.0,3.0,Male,Support,High School,Single,Executive,Yes,Travel_Rarely,1,0.6428571428571429,0.2857142857142857,0.0019536019536019536,greater,equal,0.48679678530424797,Very Far,Under 30,42.0
38.0,13.0,12323.0,33.0,4.0,10.0,1.0,7.0,5.0,5.0,1.0,Male,Development,High School,Single,Manager,No,Travel_Rarely,0,0.5384615384615384,0.38461538461538464,0.0008114907084313884,less,less,0.49280575539568344,Far,30-40,13.0
56.0,30.0,7291.0,48.0,4.0,20.0,1.0,27.0,12.0,1.0,4.0,Male,Finance,High School,Single,Engineer,Yes,Travel_Rarely,0,0.9,0.4,0.00274310794129749,greater,greater,0.5064177362893816,Very Far,50+,30.0
36.0,28.0,10425.0,3.0,2.0,8.0,2.0,28.0,14.0,9.0,1.0,Female,Development,PhD,Single,Technician,Yes,Non-Travel,0,1.0,0.5,0.0007673860911270983,less,less,0.49280575539568344,Close,30-40,56.0
40.0,20.0,17540.0,32.0,2.0,12.0,4.0,0.0,0.0,0.0,2.0,Female,HR,High School,Single,Engineer,No,Travel_Rarely,1,0.0,0.0,0.0006841505131128849,greater,less,0.47465437788018433,Far,30-40,80.0
28.0,20.0,5122.0,13.0,3.0,10.0,3.0,6.0,3.0,5.0,4.0,Male,Support,High School,Divorced,Manager,No,Travel_Frequently,1,0.3,0.15,0.001952362358453729,equal,greater,0.48679678530424797,Close,Under 30,60.0
28.0,8.0,6876.0,21.0,1.0,7.0,4.0,2.0,1.0,0.0,2.0,Male,Development,High School,Married,Manager,No,Travel_Frequently,0,0.25,0.125,0.0010180337405468296,less,less,0.49280575539568344,Moderate,Under 30,32.0
41.0,19.0,15706.0,4.0,3.0,6.0,4.0,2.0,1.0,0.0,4.0,Male,Finance,Bachelors,Single,Manager,No,Travel_Frequently,1,0.10526315789473684,0.05263157894736842,0.00038201961033999744,equal,greater,0.5064177362893816,Close,40-50,76.0
53.0,34.0,11124.0,17.0,1.0,21.0,2.0,13.0,10.0,3.0,2.0,Female,HR,Masters,Married,Clerk,No,Non-Travel,0,0.38235294117647056,0.29411764705882354,0.0018878101402373248,equal,less,0.47465437788018433,Moderate,50+,68.0
57.0,14.0,3823.0,42.0,4.0,24.0,1.0,4.0,4.0,1.0,3.0,Female,Sales,Masters,Single,Engineer,No,Travel_Rarely,0,0.2857142857142857,0.2857142857142857,0.006277792309704421,greater,greater,0.48325892857142855,Very Far,50+,14.0
41.0,23.0,6073.0,4.0,3.0,19.0,2.0,11.0,0.0,2.0,3.0,Male,Development,PhD,Single,Clerk,No,Travel_Frequently,0,0.4782608695652174,0.0,0.0031286020088918164,greater,equal,0.49280575539568344,Close,40-50,46.0
20.0,15.0,19614.0,20.0,4.0,14.0,4.0,6.0,2.0,6.0,2.0,Male,HR,PhD,Divorced,Manager,Yes,Travel_Frequently,1,0.4,0.13333333333333333,0.0007137758743754461,less,less,0.47465437788018433,Moderate,Under 30,60.0
39.0,35.0,12387.0,12.0,2.0,14.0,2.0,18.0,9.0,14.0,2.0,Female,Sales,Bachelors,Married,Technician,Yes,Non-Travel,0,0.5142857142857142,0.2571428571428571,0.0011302171631549205,less,equal,0.48325892857142855,Close,30-40,70.0
19.0,10.0,6395.0,26.0,4.0,20.0,3.0,2.0,2.0,0.0,1.0,Male,Development,Masters,Married,Manager,Yes,Non-Travel,1,0.2,0.2,0.003127443315089914,less,less,0.49280575539568344,Far,Under 30,30.0
41.0,7.0,8051.0,45.0,5.0,11.0,4.0,6.0,2.0,5.0,1.0,Female,HR,High School,Divorced,Clerk,Yes,Non-Travel,0,0.8571428571428571,0.2857142857142857,0.0013662899018755433,less,less,0.47465437788018433,Very Far,40-50,28.0
61.0,2.0,3476.0,36.0,3.0,16.0,4.0,1.0,0.0,1.0,4.0,Female,HR,High School,Divorced,Manager,No,Travel_Frequently,0,0.5,0.0,0.004602991944764097,equal,equal,0.47465437788018433,Far,50+,8.0
47.0,18.0,9121.0,16.0,1.0,22.0,3.0,4.0,2.0,3.0,2.0,Male,Development,PhD,Married,Manager,Yes,Non-Travel,0,0.2222222222222222,0.1111111111111111,0.0024120162262909767,less,less,0.49280575539568344,Moderate,40-50,54.0
55.0,2.0,4430.0,7.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,Female,HR,Masters,Single,Clerk,Yes,Travel_Frequently,1,0.5,0.5,0.001128668171557562,equal,less,0.47465437788018433,Close,50+,4.0
19.0,35.0,9954.0,33.0,3.0,12.0,2.0,5.0,1.0,1.0,2.0,Male,Support,PhD,Single,Clerk,Yes,Travel_Rarely,1,0.14285714285714285,0.02857142857142857,0.0012055455093429777,equal,less,0.48679678530424797,Far,Under 30,70.0
50.0,35.0,18917.0,2.0,3.0,22.0,1.0,16.0,3.0,0.0,1.0,Male,HR,High School,Single,Clerk,No,Travel_Rarely,0,0.45714285714285713,0.08571428571428572,0.0011629751017603214,less,less,0.47465437788018433,Close,40-50,35.0
29.0,10.0,19640.0,33.0,3.0,0.0,4.0,2.0,0.0,1.0,3.0,Male,Sales,High School,Divorced,Technician,Yes,Travel_Frequently,1,0.2,0.0,0.0,equal,greater,0.48325892857142855,Far,Under 30,40.0
39.0,15.0,14085.0,14.0,5.0,12.0,3.0,15.0,9.0,1.0,4.0,Male,Sales,Masters,Divorced,Executive,No,Travel_Rarely,1,1.0,0.6,0.0008519701810436634,greater,greater,0.48325892857142855,Moderate,30-40,45.0
61.0,16.0,4978.0,20.0,4.0,6.0,4.0,1.0,0.0,0.0,1.0,Male,Support,PhD,Divorced,Executive,No,Travel_Frequently,1,0.0625,0.0,0.0012053033346725592,equal,less,0.48679678530424797,Moderate,50+,64.0
44.0,16.0,5013.0,27.0,2.0,6.0,4.0,0.0,0.0,0.0,4.0,Female,HR,Masters,Married,Manager,No,Travel_Frequently,1,0.0,0.0,0.0011968880909634949,equal,equal,0.47465437788018433,Far,40-50,64.0
59.0,19.0,17089.0,47.0,3.0,7.0,3.0,7.0,2.0,1.0,1.0,Female,HR,PhD,Married,Engineer,Yes,Travel_Frequently,0,0.3684210526315789,0.10526315789473684,0.0004096202235356077,equal,less,0.47465437788018433,Very Far,50+,57.0
45.0,21.0,16008.0,42.0,4.0,17.0,3.0,9.0,6.0,8.0,2.0,Female,Sales,Masters,Single,Manager,No,Non-Travel,0,0.42857142857142855,0.2857142857142857,0.0010619690154922538,less,equal,0.48325892857142855,Very Far,40-50,63.0
33.0,5.0,19506.0,21.0,2.0,16.0,4.0,5.0,4.0,4.0,2.0,Male,Support,Masters,Married,Clerk,No,Travel_Frequently,0,1.0,0.8,0.0008202604326873783,equal,less,0.48679678530424797,Moderate,30-40,20.0
32.0,6.0,5830.0,2.0,2.0,15.0,1.0,5.0,2.0,3.0,3.0,Female,Sales,Masters,Married,Technician,No,Travel_Frequently,0,0.8333333333333334,0.3333333333333333,0.002572898799313894,equal,greater,0.48325892857142855,Close,30-40,6.0
64.0,13.0,4958.0,43.0,5.0,16.0,4.0,9.0,9.0,0.0,2.0,Female,Sales,Bachelors,Divorced,Manager,Yes,Non-Travel,0,0.6923076923076923,0.6923076923076923,0.003227107704719645,less,equal,0.48325892857142855,Very Far,50+,52.0
61.0,10.0,3540.0,16.0,2.0,7.0,4.0,2.0,2.0,2.0,2.0,Female,Support,Bachelors,Single,Executive,Yes,Non-Travel,0,0.2,0.2,0.0019774011299435027,greater,less,0.48679678530424797,Moderate,50+,40.0
20.0,11.0,10714.0,19.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,Male,Development,High School,Single,Clerk,Yes,Non-Travel,0,0.09090909090909091,0.09090909090909091,0.0005600149337315662,less,less,0.49280575539568344,Moderate,Under 30,22.0
54.0,4.0,13199.0,4.0,1.0,24.0,3.0,0.0,0.0,0.0,4.0,Female,HR,High School,Divorced,Manager,Yes,Non-Travel,0,0.0,0.0,0.0018183195696643685,equal,equal,0.47465437788018433,Close,50+,12.0
24.0,4.0,9053.0,10.0,1.0,17.0,4.0,3.0,3.0,1.0,2.0,Male,Development,PhD,Single,Manager,No,Non-Travel,0,0.75,0.75,0.00187783055340771,less,less,0.49280575539568344,Close,Under 30,16.0
38.0,19.0,7670.0,22.0,2.0,3.0,3.0,13.0,0.0,8.0,1.0,Female,Finance,Masters,Married,Technician,Yes,Non-Travel,0,0.6842105263157895,0.0,0.0003911342894393742,less,less,0.5064177362893816,Moderate,30-40,57.0
26.0,14.0,12690.0,12.0,3.0,23.0,3.0,3.0,2.0,0.0,4.0,Male,Finance,PhD,Single,Technician,No,Non-Travel,1,0.21428571428571427,0.14285714285714285,0.0018124507486209614,greater,greater,0.5064177362893816,Close,Under 30,42.0
56.0,25.0,16262.0,2.0,4.0,21.0,4.0,16.0,4.0,5.0,1.0,Male,Finance,High School,Divorced,Technician,No,Non-Travel,1,0.64,0.16,0.0012913540769893001,less,less,0.5064177362893816,Close,50+,100.0
35.0,32.0,17347.0,2.0,1.0,1.0,2.0,9.0,9.0,5.0,2.0,Female,Support,Bachelors,Single,Engineer,No,Non-Travel,1,0.28125,0.28125,5.764685536403989e-05,greater,less,0.48679678530424797,Close,30-40,64.0
21.0,29.0,12281.0,41.0,1.0,15.0,3.0,21.0,14.0,6.0,2.0,Male,Sales,High School,Divorced,Clerk,No,Non-Travel,1,0.7241379310344828,0.4827586206896552,0.0012213989088836414,equal,equal,0.48325892857142855,Very Far,Under 30,87.0
42.0,23.0,4533.0,44.0,1.0,17.0,3.0,8.0,6.0,0.0,1.0,Male,Development,PhD,Married,Clerk,No,Non-Travel,0,0.34782608695652173,0.2608695652173913,0.0037502757555702626,less,less,0.49280575539568344,Very Far,40-50,69.0
31.0,22.0,12756.0,34.0,5.0,22.0,1.0,2.0,1.0,1.0,3.0,Female,HR,High School,Married,Executive,No,Travel_Rarely,0,0.09090909090909091,0.045454545454545456,0.001724678582627783,greater,less,0.47465437788018433,Far,30-40,22.0
26.0,8.0,7076.0,18.0,5.0,24.0,1.0,1.0,1.0,1.0,4.0,Female,Finance,PhD,Divorced,Executive,No,Travel_Frequently,0,0.125,0.125,0.0033917467495760316,greater,greater,0.5064177362893816,Moderate,Under 30,8.0
43.0,2.0,18868.0,16.0,1.0,7.0,2.0,2.0,0.0,1.0,4.0,Female,Development,PhD,Married,Clerk,No,Travel_Frequently,0,1.0,0.0,0.000370998516005936,greater,greater,0.49280575539568344,Moderate,40-50,4.0
19.0,35.0,19048.0,19.0,1.0,13.0,4.0,8.0,5.0,8.0,2.0,Male,Finance,PhD,Married,Manager,No,Non-Travel,0,0.22857142857142856,0.14285714285714285,0.0006824863502729946,less,equal,0.5064177362893816,Moderate,Under 30,140.0
45.0,21.0,11876.0,25.0,4.0,18.0,2.0,15.0,0.0,5.0,1.0,Male,HR,High School,Married,Engineer,No,Travel_Rarely,1,0.7142857142857143,0.0,0.0015156618390030313,equal,less,0.47465437788018433,Moderate,40-50,42.0
64.0,13.0,6287.0,30.0,3.0,23.0,4.0,13.0,1.0,1.0,2.0,Female,Support,PhD,Divorced,Executive,Yes,Non-Travel,0,1.0,0.07692307692307693,0.003658342611738508,greater,less,0.48679678530424797,Far,50+,52.0
24.0,28.0,16056.0,48.0,4.0,3.0,1.0,17.0,7.0,3.0,1.0,Male,Sales,PhD,Married,Executive,No,Travel_Rarely,0,0.6071428571428571,0.25,0.0001868460388639761,equal,less,0.48325892857142855,Very Far,Under 30,28.0
61.0,15.0,17171.0,6.0,3.0,21.0,3.0,14.0,11.0,8.0,2.0,Male,Support,Masters,Single,Executive,Yes,Travel_Frequently,0,0.9333333333333333,0.7333333333333333,0.0012229922543823889,greater,less,0.48679678530424797,Close,50+,45.0
25.0,33.0,11436.0,27.0,2.0,13.0,3.0,14.0,5.0,10.0,3.0,Male,Development,PhD,Divorced,Clerk,Yes,Travel_Frequently,1,0.42424242424242425,0.15151515151515152,0.001136761105281567,greater,equal,0.49280575539568344,Far,Under 30,99.0
64.0,9.0,7166.0,15.0,2.0,1.0,4.0,7.0,6.0,0.0,4.0,Male,Support,High School,Married,Executive,No,Non-Travel,1,0.7777777777777778,0.6666666666666666,0.00013954786491766677,greater,greater,0.48679678530424797,Moderate,50+,36.0
52.0,6.0,12366.0,31.0,4.0,16.0,2.0,3.0,0.0,3.0,3.0,Male,Development,PhD,Married,Executive,No,Travel_Rarely,0,0.5,0.0,0.0012938702895034773,greater,equal,0.49280575539568344,Far,50+,12.0
31.0,24.0,12966.0,44.0,5.0,5.0,3.0,22.0,12.0,2.0,1.0,Male,Development,Bachelors,Married,Clerk,No,Travel_Rarely,0,0.9166666666666666,0.5,0.00038562393953416626,less,less,0.49280575539568344,Very Far,30-40,72.0
53.0,14.0,14310.0,12.0,2.0,15.0,1.0,10.0,2.0,3.0,2.0,Female,HR,PhD,Single,Executive,Yes,Travel_Frequently,0,0.7142857142857143,0.14285714285714285,0.0010482180293501049,greater,less,0.47465437788018433,Close,50+,14.0
21.0,27.0,15064.0,21.0,5.0,0.0,1.0,24.0,5.0,5.0,4.0,Female,Support,Bachelors,Divorced,Executive,No,Travel_Rarely,0,0.8888888888888888,0.18518518518518517,0.0,greater,greater,0.48679678530424797,Moderate,Under 30,27.0
19.0,8.0,12236.0,47.0,3.0,17.0,4.0,5.0,2.0,0.0,3.0,Male,Development,High School,Single,Engineer,Yes,Travel_Frequently,0,0.625,0.25,0.0013893429225237005,greater,equal,0.49280575539568344,Very Far,Under 30,32.0
23.0,6.0,9476.0,31.0,2.0,2.0,4.0,2.0,2.0,0.0,3.0,Male,Finance,Masters,Divorced,Clerk,No,Travel_Rarely,0,0.3333333333333333,0.3333333333333333,0.00021105951878429716,greater,greater,0.5064177362893816,Far,Under 30,24.0
59.0,15.0,2707.0,36.0,4.0,17.0,2.0,2.0,1.0,1.0,2.0,Female,Finance,Bachelors,Divorced,Executive,No,Travel_Frequently,0,0.13333333333333333,0.06666666666666667,0.006280014776505356,greater,equal,0.5064177362893816,Far,50+,30.0
21.0,25.0,10624.0,10.0,5.0,24.0,1.0,19.0,13.0,13.0,1.0,Male,Development,Bachelors,Married,Engineer,No,Travel_Rarely,0,0.76,0.52,0.002259036144578313,equal,less,0.49280575539568344,Close,Under 30,25.0
46.0,34.0,18325.0,19.0,4.0,9.0,4.0,4.0,1.0,0.0,2.0,Female,Sales,Masters,Divorced,Manager,Yes,Non-Travel,1,0.11764705882352941,0.029411764705882353,0.0004911323328785812,less,equal,0.48325892857142855,Moderate,40-50,136.0
35.0,16.0,2047.0,23.0,4.0,1.0,2.0,16.0,14.0,12.0,1.0,Male,HR,Masters,Married,Manager,Yes,Travel_Frequently,0,1.0,0.875,0.0004885197850512946,less,less,0.47465437788018433,Moderate,30-40,32.0
43.0,22.0,3914.0,46.0,2.0,18.0,4.0,3.0,2.0,0.0,1.0,Male,Sales,Bachelors,Divorced,Engineer,Yes,Travel_Rarely,0,0.13636363636363635,0.09090909090909091,0.004598875830352581,equal,less,0.48325892857142855,Very Far,40-50,88.0
61.0,7.0,19489.0,10.0,4.0,24.0,3.0,1.0,0.0,0.0,4.0,Female,Development,PhD,Married,Manager,No,Travel_Frequently,1,0.14285714285714285,0.0,0.0012314639027143518,equal,greater,0.49280575539568344,Close,50+,21.0
51.0,1.0,17390.0,49.0,4.0,10.0,3.0,1.0,0.0,1.0,4.0,Female,Development,Bachelors,Married,Technician,Yes,Travel_Rarely,0,1.0,0.0,0.0005750431282346176,greater,greater,0.49280575539568344,Very Far,50+,3.0
27.0,30.0,18951.0,27.0,1.0,18.0,2.0,20.0,1.0,1.0,2.0,Female,HR,PhD,Married,Manager,No,Non-Travel,0,0.6666666666666666,0.03333333333333333,0.0009498179515592844,less,less,0.47465437788018433,Far,Under 30,60.0
53.0,31.0,10671.0,43.0,4.0,23.0,4.0,29.0,11.0,13.0,4.0,Female,Support,PhD,Single,Technician,No,Non-Travel,0,0.9354838709677419,0.3548387096774194,0.002155374379158467,greater,greater,0.48679678530424797,Very Far,50+,124.0
31.0,28.0,19250.0,2.0,1.0,23.0,2.0,14.0,10.0,7.0,2.0,Female,Support,PhD,Divorced,Engineer,Yes,Non-Travel,1,0.5,0.35714285714285715,0.0011948051948051947,greater,less,0.48679678530424797,Close,30-40,56.0
48.0,2.0,13452.0,11.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,Male,HR,Masters,Divorced,Technician,No,Travel_Frequently,0,0.0,0.0,0.0001486767766874814,greater,equal,0.47465437788018433,Close,40-50,4.0
32.0,7.0,3028.0,8.0,4.0,9.0,2.0,4.0,2.0,0.0,3.0,Male,Support,Bachelors,Divorced,Manager,No,Non-Travel,1,0.5714285714285714,0.2857142857142857,0.00297225891677675,less,equal,0.48679678530424797,Close,30-40,14.0
25.0,1.0,3813.0,19.0,5.0,15.0,3.0,1.0,0.0,1.0,3.0,Male,Finance,Bachelors,Single,Executive,No,Travel_Frequently,0,1.0,0.0,0.003933910306845004,greater,greater,0.5064177362893816,Moderate,Under 30,3.0
31.0,30.0,7513.0,16.0,4.0,2.0,2.0,15.0,14.0,1.0,3.0,Female,Support,High School,Married,Technician,No,Non-Travel,0,0.5,0.4666666666666667,0.0002662052442433116,equal,equal,0.48679678530424797,Moderate,30-40,60.0
57.0,19.0,8278.0,14.0,5.0,18.0,3.0,5.0,5.0,5.0,1.0,Female,Support,High School,Single,Executive,No,Non-Travel,0,0.2631578947368421,0.2631578947368421,0.002174438270113554,equal,less,0.48679678530424797,Moderate,50+,57.0
38.0,28.0,13798.0,22.0,2.0,19.0,4.0,19.0,7.0,13.0,4.0,Female,Finance,High School,Single,Engineer,No,Travel_Rarely,0,0.6785714285714286,0.25,0.0013770111610378315,greater,greater,0.5064177362893816,Moderate,30-40,112.0
33.0,16.0,16727.0,17.0,3.0,20.0,2.0,9.0,5.0,2.0,3.0,Female,Support,PhD,Divorced,Engineer,No,Travel_Rarely,0,0.5625,0.3125,0.0011956716685598136,greater,equal,0.48679678530424797,Moderate,30-40,32.0
62.0,9.0,6708.0,43.0,3.0,6.0,4.0,6.0,6.0,2.0,2.0,Female,Finance,Masters,Married,Clerk,Yes,Travel_Frequently,0,0.6666666666666666,0.6666666666666666,0.0008944543828264759,equal,equal,0.5064177362893816,Very Far,50+,36.0
35.0,21.0,11476.0,26.0,1.0,16.0,3.0,9.0,2.0,7.0,1.0,Male,HR,High School,Single,Engineer,No,Non-Travel,0,0.42857142857142855,0.09523809523809523,0.0013942140118508191,equal,less,0.47465437788018433,Far,30-40,63.0
64.0,5.0,7318.0,35.0,2.0,7.0,2.0,4.0,4.0,0.0,3.0,Male,Sales,Bachelors,Divorced,Clerk,No,Non-Travel,1,0.8,0.8,0.0009565455042361301,greater,greater,0.48325892857142855,Far,50+,10.0
