Age,YearsAtCompany,MonthlyIncome,DistanceFromHome,JobLevel,PercentSalaryHike,PerformanceRating,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,Gender,Department,Education,MaritalStatus,JobRole,OverTime,BusinessTravel,target
56.0,9.0,19844.0,9.0,4.0,24.0,2.0,2.0,1.0,0.0,1.0,Male,Support,Masters,Married,Technician,No,Travel_Frequently,0
46.0,29.0,6687.0,39.0,1.0,20.0,1.0,14.0,11.0,7.0,1.0,Female,Sales,Bachelors,Single,Engineer,No,Non-Travel,0
32.0,35.0,7357.0,1.0,1.0,12.0,1.0,11.0,7.0,0.0,4.0,Male,HR,PhD,Single,Clerk,No,Non-Travel,1
60.0,39.0,2327.0,33.0,1.0,0.0,2.0,12.0,6.0,5.0,3.0,Male,Support,PhD,Single,Technician,Yes,Travel_Rarely,1
25.0,14.0,12285.0,38.0,5.0,24.0,3.0,9.0,4.0,9.0,3.0,Male,Support,High School,Single,Executive,Yes,Travel_Rarely,1
38.0,13.0,12323.0,33.0,4.0,10.0,1.0,7.0,5.0,5.0,1.0,Male,Development,High School,Single,Manager,No,Travel_Rarely,0
56.0,30.0,7291.0,48.0,4.0,20.0,1.0,27.0,12.0,1.0,4.0,Male,Finance,High School,Single,Engineer,Yes,Travel_Rarely,0
36.0,28.0,10425.0,3.0,2.0,8.0,2.0,28.0,14.0,9.0,1.0,Female,Development,PhD,Single,Technician,Yes,Non-Travel,0
40.0,20.0,17540.0,32.0,2.0,12.0,4.0,0.0,0.0,0.0,2.0,Female,HR,High School,Single,Engineer,No,Travel_Rarely,1
28.0,20.0,5122.0,13.0,3.0,10.0,3.0,6.0,3.0,5.0,4.0,Male,Support,High School,Divorced,Manager,No,Travel_Frequently,1
28.0,8.0,6876.0,21.0,1.0,7.0,4.0,2.0,1.0,0.0,2.0,Male,Development,High School,Married,Manager,No,Travel_Frequently,0
41.0,19.0,15706.0,4.0,3.0,6.0,4.0,2.0,1.0,0.0,4.0,Male,Finance,Bachelors,Single,Manager,No,Travel_Frequently,1
53.0,34.0,11124.0,17.0,1.0,21.0,2.0,13.0,10.0,3.0,2.0,Female,HR,Masters,Married,Clerk,No,Non-Travel,0
57.0,14.0,3823.0,42.0,4.0,24.0,1.0,4.0,4.0,1.0,3.0,Female,Sales,Masters,Single,Engineer,No,Travel_Rarely,0
41.0,23.0,6073.0,4.0,3.0,19.0,2.0,11.0,0.0,2.0,3.0,Male,Development,PhD,Single,Clerk,No,Travel_Frequently,0
20.0,15.0,19614.0,20.0,4.0,14.0,4.0,6.0,2.0,6.0,2.0,Male,HR,PhD,Divorced,Manager,Yes,Travel_Frequently,1
39.0,35.0,12387.0,12.0,2.0,14.0,2.0,18.0,9.0,14.0,2.0,Female,Sales,Bachelors,Married,Technician,Yes,Non-Travel,0
19.0,10.0,6395.0,26.0,4.0,20.0,3.0,2.0,2.0,0.0,1.0,Male,Development,Masters,Married,Manager,Yes,Non-Travel,1
41.0,7.0,8051.0,45.0,5.0,11.0,4.0,6.0,2.0,5.0,1.0,Female,HR,High School,Divorced,Clerk,Yes,Non-Travel,0
61.0,2.0,3476.0,36.0,3.0,16.0,4.0,1.0,0.0,1.0,4.0,Female,HR,High School,Divorced,Manager,No,Travel_Frequently,0
47.0,18.0,9121.0,16.0,1.0,22.0,3.0,4.0,2.0,3.0,2.0,Male,Development,PhD,Married,Manager,Yes,Non-Travel,0
55.0,2.0,4430.0,7.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,Female,HR,Masters,Single,Clerk,Yes,Travel_Frequently,1
19.0,35.0,9954.0,33.0,3.0,12.0,2.0,5.0,1.0,1.0,2.0,Male,Support,PhD,Single,Clerk,Yes,Travel_Rarely,1
38.0,24.0,13881.0,48.0,1.0,15.0,2.0,17.0,1.0,17.0,1.0,Male,Development,PhD,Married,Technician,Yes,Travel_Frequently,1
50.0,35.0,18917.0,2.0,3.0,22.0,1.0,16.0,3.0,0.0,1.0,Male,HR,High School,Single,Clerk,No,Travel_Rarely,0
29.0,10.0,19640.0,33.0,3.0,0.0,4.0,2.0,0.0,1.0,3.0,Male,Sales,High School,Divorced,Technician,Yes,Travel_Frequently,1
39.0,15.0,14085.0,14.0,5.0,12.0,3.0,15.0,9.0,1.0,4.0,Male,Sales,Masters,Divorced,Executive,No,Travel_Rarely,1
61.0,16.0,4978.0,20.0,4.0,6.0,4.0,1.0,0.0,0.0,1.0,Male,Support,PhD,Divorced,Executive,No,Travel_Frequently,1
42.0,23.0,6332.0,37.0,5.0,12.0,1.0,20.0,20.0,19.0,4.0,Female,Development,Bachelors,Married,Clerk,Yes,Travel_Frequently,1
44.0,16.0,5013.0,27.0,2.0,6.0,4.0,0.0,0.0,0.0,4.0,Female,HR,Masters,Married,Manager,No,Travel_Frequently,1
59.0,19.0,17089.0,47.0,3.0,7.0,3.0,7.0,2.0,1.0,1.0,Female,HR,PhD,Married,Engineer,Yes,Travel_Frequently,0
45.0,21.0,16008.0,42.0,4.0,17.0,3.0,9.0,6.0,8.0,2.0,Female,Sales,Masters,Single,Manager,No,Non-Travel,0
33.0,5.0,19506.0,21.0,2.0,16.0,4.0,5.0,4.0,4.0,2.0,Male,Support,Masters,Married,Clerk,No,Travel_Frequently,0
32.0,6.0,5830.0,2.0,2.0,15.0,1.0,5.0,2.0,3.0,3.0,Female,Sales,Masters,Married,Technician,No,Travel_Frequently,0
64.0,13.0,4958.0,43.0,5.0,16.0,4.0,9.0,9.0,0.0,2.0,Female,Sales,Bachelors,Divorced,Manager,Yes,Non-Travel,0
61.0,10.0,3540.0,16.0,2.0,7.0,4.0,2.0,2.0,2.0,2.0,Female,Support,Bachelors,Single,Executive,Yes,Non-Travel,0
20.0,11.0,10714.0,19.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,Male,Development,High School,Single,Clerk,Yes,Non-Travel,0
54.0,4.0,13199.0,4.0,1.0,24.0,3.0,0.0,0.0,0.0,4.0,Female,HR,High School,Divorced,Manager,Yes,Non-Travel,0
24.0,4.0,9053.0,10.0,1.0,17.0,4.0,3.0,3.0,1.0,2.0,Male,Development,PhD,Single,Manager,No,Non-Travel,0
38.0,19.0,7670.0,22.0,2.0,3.0,3.0,13.0,0.0,8.0,1.0,Female,Finance,Masters,Married,Technician,Yes,Non-Travel,0
26.0,14.0,12690.0,12.0,3.0,23.0,3.0,3.0,2.0,0.0,4.0,Male,Finance,PhD,Single,Technician,No,Non-Travel,1
56.0,25.0,16262.0,2.0,4.0,21.0,4.0,16.0,4.0,5.0,1.0,Male,Finance,High School,Divorced,Technician,No,Non-Travel,1
35.0,32.0,17347.0,2.0,1.0,1.0,2.0,9.0,9.0,5.0,2.0,Female,Support,Bachelors,Single,Engineer,No,Non-Travel,1
21.0,29.0,12281.0,41.0,1.0,15.0,3.0,21.0,14.0,6.0,2.0,Male,Sales,High School,Divorced,Clerk,No,Non-Travel,1
42.0,23.0,4533.0,44.0,1.0,17.0,3.0,8.0,6.0,0.0,1.0,Male,Development,PhD,Married,Clerk,No,Non-Travel,0
31.0,22.0,12756.0,34.0,5.0,22.0,1.0,2.0,1.0,1.0,3.0,Female,HR,High School,Married,Executive,No,Travel_Rarely,0
26.0,8.0,7076.0,18.0,5.0,24.0,1.0,1.0,1.0,1.0,4.0,Female,Finance,PhD,Divorced,Executive,No,Travel_Frequently,0
43.0,2.0,18868.0,16.0,1.0,7.0,2.0,2.0,0.0,1.0,4.0,Female,Development,PhD,Married,Clerk,No,Travel_Frequently,0
19.0,35.0,19048.0,19.0,1.0,13.0,4.0,8.0,5.0,8.0,2.0,Male,Finance,PhD,Married,Manager,No,Non-Travel,0
37.0,6.0,19011.0,47.0,5.0,17.0,3.0,6.0,8.0,5.0,1.0,Male,Finance,PhD,Single,Clerk,No,Non-Travel,0
45.0,21.0,11876.0,25.0,4.0,18.0,2.0,15.0,0.0,5.0,1.0,Male,HR,High School,Married,Engineer,No,Travel_Rarely,1
64.0,13.0,6287.0,30.0,3.0,23.0,4.0,13.0,1.0,1.0,2.0,Female,Support,PhD,Divorced,Executive,Yes,Non-Travel,0
24.0,28.0,16056.0,48.0,4.0,3.0,1.0,17.0,7.0,3.0,1.0,Male,Sales,PhD,Married,Executive,No,Travel_Rarely,0
61.0,15.0,17171.0,6.0,3.0,21.0,3.0,14.0,11.0,8.0,2.0,Male,Support,Masters,Single,Executive,Yes,Travel_Frequently,0
25.0,33.0,11436.0,27.0,2.0,13.0,3.0,14.0,5.0,10.0,3.0,Male,Development,PhD,Divorced,Clerk,Yes,Travel_Frequently,1
64.0,9.0,7166.0,15.0,2.0,1.0,4.0,7.0,6.0,0.0,4.0,Male,Support,High School,Married,Executive,No,Non-Travel,1
52.0,6.0,12366.0,31.0,4.0,16.0,2.0,3.0,0.0,3.0,3.0,Male,Development,PhD,Married,Executive,No,Travel_Rarely,0
31.0,24.0,12966.0,44.0,5.0,5.0,3.0,22.0,12.0,2.0,1.0,Male,Development,Bachelors,Married,Clerk,No,Travel_Rarely,0
34.0,26.0,14983.0,22.0,1.0,7.0,3.0,20.0,19.0,4.0,4.0,Male,Sales,Bachelors,Divorced,Manager,No,Travel_Frequently,1
53.0,14.0,14310.0,12.0,2.0,15.0,1.0,10.0,2.0,3.0,2.0,Female,HR,PhD,Single,Executive,Yes,Travel_Frequently,0
57.0,31.0,13390.0,10.0,5.0,20.0,2.0,31.0,26.0,2.0,2.0,Female,Sales,Bachelors,Divorced,Executive,Yes,Travel_Rarely,1
21.0,27.0,15064.0,21.0,5.0,0.0,1.0,24.0,5.0,5.0,4.0,Female,Support,Bachelors,Divorced,Executive,No,Travel_Rarely,0
19.0,8.0,12236.0,47.0,3.0,17.0,4.0,5.0,2.0,0.0,3.0,Male,Development,High School,Single,Engineer,Yes,Travel_Frequently,0
